1,en,1,writing,"‘It IS the same thing with you,’ said the Hatter, and here the conversation dropped, and the party sat silent for a minute, while Alice thought over all she could remember about ravens and {word}-desks, which wasn’t much.  ",Alice’s Adventures in Wonderland by Lewis Carroll
2,en,2,large,"They all sat down at once, in a {word} ring, with the Mouse in the middle.",Alice’s Adventures in Wonderland by Lewis Carroll
3,en,3,clasped,", she dreamed of little Alice herself, and once again the tiny hands were {word} upon her knee, and the bright eager eyes were looking up into hers",Alice’s Adventures in Wonderland by Lewis Carroll
4,en,4,spoke,"He unfolded the paper as he {word}, and added ‘It isn’t a letter, after all: it’s a set of verses.’  ",Alice’s Adventures in Wonderland by Lewis Carroll
5,en,5,called,"wood--(she considered him to be a footman because he was in livery: otherwise, judging by his face only, she would have {word} him a fish)--and rapped loudly at the door with his knuckles.",Alice’s Adventures in Wonderland by Lewis Carroll
6,en,6,heard,"In a little while, however, she again {word} a little pattering of footsteps in the distance, and she looked up eagerly, half hoping that the Mouse had changed his mind, and was coming back to finish his story.     ",Alice’s Adventures in Wonderland by Lewis Carroll
7,en,7,putting,"‘They’re {word} down their names,’ the Gryphon whispered in reply, ‘for fear they should forget them before the end of the trial.’  ",Alice’s Adventures in Wonderland by Lewis Carroll
8,en,8,breath,"This seemed to Alice a good opportunity for making her escape; so she set off at once, and ran till she was quite tired and out of {word}, and till the puppy’s bark sounded quite faint in the distance.  ",Alice’s Adventures in Wonderland by Lewis Carroll
9,en,9,interrupted,the Rabbit hastily {word}.,Alice’s Adventures in Wonderland by Lewis Carroll
10,en,10,ought,"Alice felt a little irritated at the Caterpillar’s making such VERY short remarks, and she drew herself up and said, very gravely, ‘I think, you {word} to tell me who YOU are, first.’  ",Alice’s Adventures in Wonderland by Lewis Carroll
11,en,11,bottle,"The poor little Lizard, Bill, was in the middle, being held up by two guinea-pigs, who were giving it something out of a {word}.",Alice’s Adventures in Wonderland by Lewis Carroll
